,user_id,item,score,rank
0,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,Tron - Foals,0.04167082917082917,1.0
1,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,Black Wave (Album) - The Shins,0.04167082917082917,2.0
2,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,The Police And The Private - Metric,0.04167082917082917,3.0
3,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,Spare-Ohs - Andrew Bird,0.0391025641025641,4.0
4,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,Fast As I Can - Erin McKeown,0.03881639194139194,5.0
5,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,Sympathy - Sleater-kinney,0.03523351648351648,6.0
6,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,What's In The Middle - the bird and the bee,0.03494734432234432,7.0
7,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,Gold Guns Girls - Metric,0.03470383782883783,8.0
8,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,Bolinha De Papel - João Gilberto,0.034619547119547116,9.0
9,97e48f0f188e04dcdb0f8e20a29dacb881d80c9e,Goodnight Bad Morning - The Kills,0.03381410256410257,10.0
